               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076689,            0.044783,            0.061747,             0.42742,             0.32486,             0.36361,             0.18073,             0.05165,            0.023837,            0.037583,             0.07006,           0.0033267,           0.0033267
                   1,            0.054107,            0.037893,            0.033363,             0.56182,             0.55776,             0.56008,             0.28283,            0.050791,            0.023254,            0.021012,            0.040016,           0.0066161,           0.0066161
                   2,            0.053457,            0.037769,            0.024797,              0.6039,             0.51759,             0.56048,             0.28191,            0.048176,            0.024857,            0.018876,           0.0099278,           0.0098614,           0.0098614
                   3,            0.050693,            0.040271,            0.023632,             0.60101,              0.5467,             0.56477,             0.29263,            0.046267,            0.026255,            0.019775,            0.009802,            0.009802,            0.009802
                   4,            0.048348,            0.041684,            0.023368,             0.56789,              0.5029,             0.52645,             0.26645,            0.047263,            0.026783,            0.019122,            0.009802,            0.009802,            0.009802
                   5,            0.048178,            0.041658,            0.022545,             0.61836,             0.53065,              0.5532,             0.27831,            0.046498,            0.026398,            0.018235,            0.009736,            0.009736,            0.009736
                   6,            0.046625,            0.041559,              0.0216,             0.54793,              0.4986,             0.51517,             0.26934,            0.045455,            0.026842,            0.018499,             0.00967,             0.00967,             0.00967
                   7,            0.045893,            0.041502,            0.020815,             0.56821,             0.53356,              0.5367,              0.2841,            0.045121,            0.027037,            0.018201,            0.009604,            0.009604,            0.009604
                   8,            0.045262,              0.0414,            0.020426,             0.61702,             0.49859,             0.54239,             0.28349,            0.045131,            0.026806,            0.019675,            0.009538,            0.009538,            0.009538
                   9,            0.045058,            0.039989,            0.019515,             0.62029,             0.52177,             0.56347,             0.29664,            0.044979,            0.026556,            0.018334,            0.009472,            0.009472,            0.009472
                  10,            0.044403,            0.039928,            0.019402,             0.62247,              0.5247,             0.55139,             0.29629,            0.045248,            0.026788,            0.020435,            0.009406,            0.009406,            0.009406
                  11,            0.044338,            0.041086,            0.018606,             0.67628,             0.50819,             0.56927,             0.30872,             0.04413,            0.026454,            0.017952,             0.00934,             0.00934,             0.00934
                  12,            0.043784,            0.040337,            0.017619,             0.63632,             0.52383,             0.57599,             0.31937,            0.043855,            0.026046,            0.017212,            0.009274,            0.009274,            0.009274
                  13,            0.043108,            0.040376,            0.017645,             0.62979,             0.53236,             0.56981,             0.31373,            0.043651,            0.026668,            0.019046,            0.009208,            0.009208,            0.009208
                  14,            0.043001,            0.039824,            0.016849,             0.66597,             0.53886,              0.5921,             0.33615,             0.04426,            0.026614,            0.017754,            0.009142,            0.009142,            0.009142
                  15,            0.042657,            0.039451,            0.016625,             0.62528,             0.54574,             0.57673,             0.32706,            0.043165,            0.026291,            0.018876,            0.009076,            0.009076,            0.009076
                  16,            0.041885,            0.039019,            0.016097,             0.63722,             0.57371,             0.59767,             0.32881,            0.043093,            0.025836,            0.015456,             0.00901,             0.00901,             0.00901
                  17,            0.041636,            0.038038,            0.015726,             0.66502,             0.56032,             0.61961,             0.35056,            0.042696,            0.026192,            0.015699,            0.008944,            0.008944,            0.008944
                  18,            0.041244,            0.038623,            0.015419,             0.65135,             0.57498,             0.62131,             0.34749,            0.042764,            0.026139,            0.015938,            0.008878,            0.008878,            0.008878
                  19,            0.040588,              0.0379,            0.015144,              0.6995,             0.57277,             0.62591,             0.35755,            0.042743,            0.025981,            0.016828,            0.008812,            0.008812,            0.008812
                  20,            0.040607,            0.038406,            0.014506,             0.64113,             0.56482,             0.59161,             0.33565,            0.042788,             0.02617,            0.017492,            0.008746,            0.008746,            0.008746
                  21,            0.040568,            0.038362,            0.014075,             0.68991,             0.54917,             0.61093,             0.34922,            0.043013,            0.026347,            0.016513,             0.00868,             0.00868,             0.00868
                  22,            0.040619,            0.038076,            0.014073,             0.69038,             0.54718,             0.61333,             0.35128,             0.04259,            0.026499,            0.016698,            0.008614,            0.008614,            0.008614
                  23,            0.040083,            0.037567,            0.014325,             0.65475,              0.5616,             0.60808,             0.34355,            0.042073,            0.026217,            0.016676,            0.008548,            0.008548,            0.008548
                  24,            0.039867,            0.037514,              0.0144,             0.69132,             0.58157,             0.63595,             0.36412,            0.042003,            0.026036,            0.015509,            0.008482,            0.008482,            0.008482
                  25,            0.039285,            0.037224,            0.013288,             0.69851,             0.57041,             0.63246,             0.36599,            0.042096,            0.025973,            0.015484,            0.008416,            0.008416,            0.008416
                  26,            0.039214,            0.037048,             0.01324,              0.6477,             0.59752,             0.62737,             0.36053,            0.042193,              0.0263,            0.015727,             0.00835,             0.00835,             0.00835
                  27,            0.039043,            0.036862,            0.012947,             0.69118,              0.5821,             0.63327,             0.37304,            0.041864,            0.026178,            0.016011,            0.008284,            0.008284,            0.008284
                  28,            0.038803,            0.037022,            0.012552,              0.6638,             0.61469,             0.64175,             0.36808,            0.041247,            0.026365,            0.015138,            0.008218,            0.008218,            0.008218
                  29,            0.038816,            0.036421,            0.012433,             0.67722,             0.60158,              0.6393,             0.36677,            0.041929,            0.026385,            0.016068,            0.008152,            0.008152,            0.008152
                  30,            0.038124,            0.036228,            0.012135,             0.70786,             0.59889,             0.64402,             0.37033,            0.041795,            0.026216,            0.015898,            0.008086,            0.008086,            0.008086
                  31,            0.037881,            0.036187,            0.012306,             0.69186,             0.59273,             0.63221,             0.36614,            0.041674,            0.026624,            0.014505,             0.00802,             0.00802,             0.00802
                  32,            0.037928,            0.035306,            0.011854,             0.68792,             0.56883,              0.6216,             0.36769,            0.041339,            0.026451,            0.016095,            0.007954,            0.007954,            0.007954
                  33,            0.037398,            0.035549,            0.011756,             0.67269,             0.59307,             0.62413,             0.36825,            0.041671,            0.026523,            0.016875,            0.007888,            0.007888,            0.007888
                  34,             0.03802,            0.036335,            0.011691,             0.69534,             0.60178,             0.63204,             0.36896,            0.042061,            0.026307,             0.01506,            0.007822,            0.007822,            0.007822
                  35,            0.037331,            0.035395,            0.011266,             0.70483,              0.5931,             0.63726,             0.37877,            0.041276,            0.026394,            0.017094,            0.007756,            0.007756,            0.007756
                  36,            0.036702,            0.035315,            0.010606,             0.71676,             0.58978,             0.63999,             0.38496,             0.04082,            0.026521,            0.014851,             0.00769,             0.00769,             0.00769
                  37,            0.037286,            0.035174,            0.011018,             0.71647,             0.60025,             0.64496,             0.38984,            0.041115,            0.026246,            0.015668,            0.007624,            0.007624,            0.007624
                  38,            0.036592,            0.034717,            0.010685,             0.71117,             0.60621,             0.65071,             0.39392,             0.04091,            0.026422,            0.014717,            0.007558,            0.007558,            0.007558
                  39,            0.036402,            0.034412,             0.01029,             0.72571,              0.6041,             0.66042,             0.39394,            0.041066,            0.026766,            0.015105,            0.007492,            0.007492,            0.007492
                  40,            0.036372,            0.034912,            0.010126,             0.71259,             0.58821,             0.65266,              0.3893,            0.040451,            0.026626,            0.014393,            0.007426,            0.007426,            0.007426
                  41,            0.036063,            0.034813,            0.010371,             0.71047,             0.61435,             0.65678,             0.39307,            0.040225,            0.026264,            0.016123,             0.00736,             0.00736,             0.00736
                  42,            0.036174,             0.03514,            0.010649,             0.72097,             0.60367,             0.66096,             0.39013,            0.040314,            0.026293,            0.014831,            0.007294,            0.007294,            0.007294
                  43,            0.035947,             0.03434,            0.010342,             0.74125,             0.61937,             0.66369,             0.40032,            0.040273,            0.026432,             0.01468,            0.007228,            0.007228,            0.007228
                  44,            0.035438,            0.034791,            0.010149,             0.71229,             0.61688,              0.6671,             0.40212,            0.040466,            0.026793,            0.015031,            0.007162,            0.007162,            0.007162
                  45,            0.035703,            0.034057,           0.0098354,             0.71203,             0.60526,             0.65105,             0.39988,            0.040115,            0.026604,             0.01591,            0.007096,            0.007096,            0.007096
                  46,            0.035167,            0.033807,           0.0094298,             0.73065,             0.60376,             0.66231,              0.4054,            0.040166,            0.026771,            0.015009,             0.00703,             0.00703,             0.00703
                  47,            0.035292,            0.033824,            0.010031,             0.73156,             0.60196,             0.64947,              0.3948,            0.040808,            0.027011,            0.015448,            0.006964,            0.006964,            0.006964
                  48,            0.035251,            0.033278,           0.0099416,             0.71423,             0.60439,             0.65105,             0.39631,            0.040119,            0.026999,            0.015747,            0.006898,            0.006898,            0.006898
                  49,            0.034926,            0.033746,            0.010086,             0.71002,             0.60955,             0.65886,             0.40129,            0.040319,             0.02699,            0.015734,            0.006832,            0.006832,            0.006832
                  50,            0.034838,            0.033778,           0.0098923,             0.71985,             0.61958,             0.67218,             0.41366,            0.040517,            0.026335,            0.015505,            0.006766,            0.006766,            0.006766
                  51,            0.034545,            0.033347,           0.0097049,             0.70623,             0.61137,             0.65505,             0.39735,            0.040275,            0.026584,            0.016129,              0.0067,              0.0067,              0.0067
                  52,            0.034867,            0.033278,           0.0091772,             0.71086,             0.62878,              0.6633,             0.40229,            0.040206,            0.026628,            0.015122,            0.006634,            0.006634,            0.006634
                  53,            0.034738,            0.032832,           0.0094296,             0.74505,             0.61733,             0.66273,             0.40169,            0.040133,            0.026892,            0.014744,            0.006568,            0.006568,            0.006568
                  54,            0.034771,            0.033034,           0.0094556,             0.74118,              0.6188,             0.67908,             0.41282,            0.039828,            0.026883,            0.014575,            0.006502,            0.006502,            0.006502
                  55,            0.033923,            0.032739,           0.0088378,               0.722,             0.62836,             0.66862,              0.4051,            0.039874,            0.026566,            0.015018,            0.006436,            0.006436,            0.006436
                  56,             0.03427,            0.033207,           0.0086269,             0.73034,             0.62501,             0.67386,             0.41324,            0.039925,            0.026519,            0.015149,             0.00637,             0.00637,             0.00637
                  57,            0.034061,            0.032979,           0.0083507,             0.75347,             0.63207,             0.68093,              0.4195,            0.040065,            0.026453,            0.014647,            0.006304,            0.006304,            0.006304
                  58,            0.033822,            0.032248,           0.0083623,             0.71542,             0.63793,             0.66418,             0.41284,            0.039792,            0.026974,            0.015527,            0.006238,            0.006238,            0.006238
                  59,            0.033571,            0.032488,           0.0086861,             0.74249,             0.61132,             0.66593,              0.4122,            0.039857,            0.026891,            0.016083,            0.006172,            0.006172,            0.006172
                  60,            0.033803,            0.033236,           0.0082965,             0.72952,             0.64762,             0.67778,             0.41998,            0.039486,            0.026884,             0.01486,            0.006106,            0.006106,            0.006106
                  61,            0.033026,            0.032205,           0.0087838,             0.71344,             0.64577,             0.66804,             0.41022,            0.040002,              0.0267,            0.014582,             0.00604,             0.00604,             0.00604
                  62,            0.033187,            0.032421,           0.0084483,             0.70453,             0.65626,             0.67313,             0.41987,            0.039932,            0.026877,            0.015363,            0.005974,            0.005974,            0.005974
                  63,            0.033288,            0.032573,           0.0081692,             0.74175,             0.63869,             0.67239,             0.42306,            0.039666,             0.02664,            0.014759,            0.005908,            0.005908,            0.005908
                  64,             0.03312,            0.032112,           0.0084666,             0.74417,             0.61907,             0.66921,             0.41491,             0.03997,            0.027257,            0.014688,            0.005842,            0.005842,            0.005842
                  65,            0.032819,             0.03128,           0.0081508,             0.73621,             0.63863,              0.6807,              0.4201,            0.040056,            0.027154,            0.015998,            0.005776,            0.005776,            0.005776
                  66,            0.032712,            0.031495,           0.0078239,              0.7112,             0.63432,             0.67307,             0.41457,            0.039644,            0.026963,            0.014847,             0.00571,             0.00571,             0.00571
                  67,            0.032552,            0.031321,           0.0074236,             0.72967,             0.64637,             0.68107,             0.42247,            0.039649,            0.027429,            0.014709,            0.005644,            0.005644,            0.005644
                  68,            0.032738,            0.031517,           0.0078304,              0.7493,             0.61446,             0.67841,             0.42546,             0.03925,            0.027082,            0.015165,            0.005578,            0.005578,            0.005578
                  69,            0.032433,            0.031834,           0.0080573,             0.75139,              0.6442,             0.68538,             0.42708,            0.039327,            0.027197,            0.014893,            0.005512,            0.005512,            0.005512
                  70,            0.031832,            0.031161,           0.0077044,             0.71234,             0.64479,              0.6809,             0.42184,                0.04,            0.027201,            0.015267,            0.005446,            0.005446,            0.005446
                  71,            0.031923,            0.031253,           0.0076786,             0.71659,             0.63195,             0.66155,             0.41758,            0.039769,            0.026987,            0.016501,             0.00538,             0.00538,             0.00538
                  72,            0.032266,            0.031572,           0.0074469,              0.7284,             0.62256,             0.67086,             0.42105,            0.039806,            0.027194,            0.014926,            0.005314,            0.005314,            0.005314
                  73,            0.031778,            0.031058,           0.0075698,             0.73964,             0.64472,              0.6931,             0.43568,            0.039678,             0.02758,            0.015562,            0.005248,            0.005248,            0.005248
                  74,             0.03153,             0.03059,            0.007741,             0.73675,             0.64261,              0.6795,             0.42774,            0.039836,            0.027263,            0.015734,            0.005182,            0.005182,            0.005182
                  75,            0.031873,            0.030817,           0.0078012,             0.75397,             0.64636,             0.68426,             0.42773,            0.039778,            0.027329,            0.016213,            0.005116,            0.005116,            0.005116
                  76,            0.031617,            0.030428,           0.0075675,             0.72072,             0.64892,             0.67246,             0.42249,            0.039926,            0.027564,            0.016103,             0.00505,             0.00505,             0.00505
                  77,            0.031846,            0.031182,           0.0075339,             0.74048,             0.63319,             0.67794,             0.43107,            0.039504,            0.027358,             0.01508,            0.004984,            0.004984,            0.004984
